% {"col_measures": ["predictive_accuracy", "runtime", "missclassification_rate", "predictive_accuracy_loss", "predictive_accuracy_loss_normalized"], "col_parameters": ["algorithm", "representation", "stopword_remover", "stemmer", "sparsity", "feature_selection"]}
@RELATION text_classification

@ATTRIBUTE algorithm {knn, ranger, JRip, svmLinear2, J48, nnet, lda, C5.0Tree}
@ATTRIBUTE representation {Td-idf, freq}
@ATTRIBUTE stopword_remover {none, default, smart}
@ATTRIBUTE stemmer {none, porter}
@ATTRIBUTE sparsity NUMERIC
@ATTRIBUTE feature_selection {none, '> 0'}
@ATTRIBUTE dataset {n1, n10, n11, n12, n13, n14, n15, n16, n17, n18, n19, n2, n20, n21, n22, n23, n3, n4, n5, n6, n7, n8, n9, o1, o10, o11, o12, o13, o14, o15, o16, o17, o18, o19, o2, o20, o21, o22, o3, o4, o5, o6, o7, o8, o9, r1, r2, r3, r4, r5}
@ATTRIBUTE predictive_accuracy NUMERIC
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE missclassification_rate NUMERIC
@ATTRIBUTE predictive_accuracy_loss NUMERIC
@ATTRIBUTE predictive_accuracy_loss_normalized NUMERIC

@DATA
ranger,Td-idf,none,none,0.99,'> 0',n1,0.958817501,37.21,0.04118249900000004,0.022000189999999975,inf
JRip,Td-idf,none,none,0.99,'> 0',n1,0.865693232,39.02,0.13430676799999997,0.1151244589999999,inf
svmLinear2,Td-idf,none,none,0.99,'> 0',n1,0.967830317,29.81,0.032169683000000004,0.01298737399999994,inf
J48,Td-idf,none,none,0.99,'> 0',n1,0.882627114,34.45,0.11737288599999995,0.09819057699999989,inf
nnet,Td-idf,none,none,0.99,'> 0',n1,0.96896407,28.61,0.031035930000000045,0.01185362099999998,inf
lda,Td-idf,none,none,0.99,'> 0',n1,0.944126934,31.48,0.05587306599999997,0.03669075699999991,inf
C5.0Tree,Td-idf,none,none,0.99,'> 0',n1,0.874153154,43.32,0.12584684599999996,0.10666453699999989,inf
knn,Td-idf,smart,none,0.98,'> 0',n1,0.914784081,25.8599999999998,0.08521591900000003,0.06603360999999996,inf
ranger,Td-idf,smart,none,0.98,'> 0',n1,0.965021363,25.3799999999998,0.034978637000000035,0.01579632799999997,inf
JRip,Td-idf,smart,none,0.98,'> 0',n1,0.884890828,26.7499999999998,0.11510917200000004,0.09592686299999997,inf
svmLinear2,Td-idf,smart,none,0.98,'> 0',n1,0.945808491,17.8199999999998,0.05419150900000003,0.03500919999999996,inf
J48,Td-idf,smart,none,0.98,'> 0',n1,0.901246366,21.5299999999998,0.09875363400000003,0.07957132499999997,inf
nnet,Td-idf,smart,none,0.98,'> 0',n1,0.964441742,17.7399999999998,0.03555825800000001,0.016375948999999945,inf
lda,Td-idf,smart,none,0.98,'> 0',n1,0.954290112,18.3499999999998,0.045709887999999976,0.026527578999999912,inf
C5.0Tree,Td-idf,smart,none,0.98,'> 0',n1,0.897855243,27.4799999999998,0.10214475700000003,0.08296244799999997,inf
knn,Td-idf,smart,porter,0.99,none,n1,0.856080453,74.650000000001,0.14391954699999998,0.12473723799999992,inf
ranger,Td-idf,smart,porter,0.99,none,n1,0.9717882940000001,47.990000000001004,0.028211705999999892,0.009029396999999828,inf
JRip,Td-idf,smart,porter,0.99,none,n1,0.886574888,88.250000000001,0.11342511200000005,0.09424280299999999,inf
svmLinear2,Td-idf,smart,porter,0.99,none,n1,0.9678341359999999,45.990000000001004,0.0321658640000001,0.012983555000000035,inf
J48,Td-idf,smart,porter,0.99,none,n1,0.911385268,61.410000000001,0.08861473200000003,0.06943242299999997,inf
nnet,Td-idf,smart,porter,0.99,none,n1,0.9717896109999999,45.010000000001,0.028210389000000058,0.009028079999999994,inf
lda,Td-idf,smart,porter,0.99,none,n1,0.756369952,61.930000000001,0.243630048,0.22444773899999992,inf
C5.0Tree,Td-idf,smart,porter,0.99,none,n1,0.910259142,73.440000000001,0.08974085799999998,0.07055854899999991,inf
knn,Td-idf,smart,porter,0.99,'> 0',n1,0.918739492,43.250000000002295,0.08126050799999995,0.06207819899999989,inf
ranger,Td-idf,smart,porter,0.99,'> 0',n1,0.9672774340000001,40.2200000000023,0.0327225659999999,0.013540256999999833,inf
JRip,Td-idf,smart,porter,0.99,'> 0',n1,0.890527803,41.9200000000023,0.109472197,0.09028988799999993,inf
svmLinear2,Td-idf,smart,porter,0.99,'> 0',n1,0.945818677,32.9000000000023,0.054181323,0.03499901399999994,inf
J48,Td-idf,smart,porter,0.99,'> 0',n1,0.9023559170000001,36.6600000000023,0.09764408299999994,0.07846177399999987,inf
nnet,Td-idf,smart,porter,0.99,'> 0',n1,0.961630257,32.9000000000023,0.038369742999999956,0.019187433999999892,inf
lda,Td-idf,smart,porter,0.99,'> 0',n1,0.958235332,33.850000000002304,0.041764668000000005,0.02258235899999994,inf
C5.0Tree,Td-idf,smart,porter,0.99,'> 0',n1,0.9096961020000001,43.5500000000023,0.09030389799999994,0.07112158899999987,inf
knn,Td-idf,smart,porter,0.98,none,n1,0.8651162109999999,44.16000000000071,0.1348837890000001,0.11570148000000002,inf
ranger,Td-idf,smart,porter,0.98,none,n1,0.966706727,35.4100000000007,0.03329327299999996,0.014110963999999893,inf
JRip,Td-idf,smart,porter,0.98,none,n1,0.902925341,43.810000000000706,0.09707465900000001,0.07789234999999994,inf
svmLinear2,Td-idf,smart,porter,0.98,none,n1,0.954854423,27.2100000000007,0.04514557699999999,0.02596326799999993,inf
J48,Td-idf,smart,porter,0.98,none,n1,0.908561044,33.9200000000007,0.09143895599999996,0.0722566469999999,inf
nnet,Td-idf,smart,porter,0.98,none,n1,0.957111777,28.5000000000007,0.04288822299999995,0.023705913999999884,inf
lda,Td-idf,smart,porter,0.98,none,n1,0.9232414259999999,28.7500000000007,0.07675857400000008,0.057576265000000015,inf
C5.0Tree,Td-idf,smart,porter,0.98,none,n1,0.91082603,44.09000000000071,0.08917397000000005,0.06999166099999998,inf
knn,Td-idf,smart,porter,0.98,'> 0',n1,0.914243942,24.6900000000012,0.08575605799999997,0.0665737489999999,inf
ranger,Td-idf,smart,porter,0.98,'> 0',n1,0.96445321,30.720000000001196,0.03554679000000005,0.016364480999999986,inf
JRip,Td-idf,smart,porter,0.98,'> 0',n1,0.890521425,29.560000000001196,0.10947857500000002,0.09029626599999996,inf
svmLinear2,Td-idf,smart,porter,0.98,'> 0',n1,0.939631379,24.360000000001197,0.060368620999999956,0.04118631199999989,inf
J48,Td-idf,smart,porter,0.98,'> 0',n1,0.904619637,26.270000000001197,0.09538036299999997,0.0761980539999999,inf
nnet,Td-idf,smart,porter,0.98,'> 0',n1,0.945253095,24.080000000001196,0.05474690500000001,0.03556459599999995,inf
lda,Td-idf,smart,porter,0.98,'> 0',n1,0.9559920059999999,24.360000000001197,0.044007994000000106,0.024825685000000042,inf
C5.0Tree,Td-idf,smart,porter,0.98,'> 0',n1,0.905749565,31.6900000000012,0.09425043499999997,0.0750681259999999,inf
knn,freq,none,none,0.99,none,n1,0.8724410570000001,84.6599999999993,0.12755894299999992,0.10837663399999986,inf
ranger,freq,none,none,0.99,none,n1,0.965026458,40.5999999999993,0.034973542000000024,0.01579123299999996,inf
JRip,freq,none,none,0.99,none,n1,0.89503229,104.829999999999,0.10496771000000005,0.08578540099999998,inf
svmLinear2,freq,none,none,0.99,none,n1,0.94638683,33.9699999999993,0.05361316999999999,0.034430860999999924,inf
J48,freq,none,none,0.99,none,n1,0.885990188,70.4599999999993,0.11400981200000004,0.09482750299999998,inf
nnet,freq,none,none,0.99,none,n1,0.9486569109999999,74.7999999999993,0.051343089000000064,0.03216078,inf
lda,freq,none,none,0.99,none,n1,0.719558368,77.77999999999929,0.28044163200000005,0.261259323,inf
C5.0Tree,freq,none,none,0.99,none,n1,0.8876857440000001,36.2999999999993,0.11231425599999989,0.09313194699999983,inf
knn,freq,none,none,0.99,'> 0',n1,0.8278470929999999,39.3199999999999,0.17215290700000008,0.152970598,inf
ranger,freq,none,none,0.99,'> 0',n1,0.9571244870000001,34.0499999999999,0.04287551299999992,0.023693203999999857,inf
JRip,freq,none,none,0.99,'> 0',n1,0.8973062190000001,38.1399999999999,0.10269378099999993,0.08351147199999986,inf
svmLinear2,freq,none,none,0.99,'> 0',n1,0.950914264,27.4899999999999,0.04908573599999999,0.029903426999999927,inf
J48,freq,none,none,0.99,'> 0',n1,0.901232327,31.4199999999999,0.098767673,0.07958536399999994,inf
nnet,freq,none,none,0.99,'> 0',n1,0.942997018,29.4899999999999,0.05700298199999998,0.037820672999999916,inf
lda,freq,none,none,0.99,'> 0',n1,0.89106667,28.7699999999999,0.10893333000000005,0.08975102099999999,inf
C5.0Tree,freq,none,none,0.99,'> 0',n1,0.9029380859999999,29.6199999999999,0.09706191400000008,0.07787960500000002,inf
knn,freq,none,none,0.98,none,n1,0.853819309,40.989999999998005,0.14618069099999997,0.1269983819999999,inf
ranger,freq,none,none,0.98,none,n1,0.9622009579999999,27.479999999998004,0.03779904200000006,0.018616732999999996,inf
JRip,freq,none,none,0.98,none,n1,0.873590073,43.959999999998,0.12640992699999998,0.10722761799999991,inf
svmLinear2,freq,none,none,0.98,none,n1,0.9294669520000001,17.929999999998,0.07053304799999993,0.05135073899999987,inf
J48,freq,none,none,0.98,none,n1,0.8893863959999999,28.169999999998,0.11061360400000009,0.09143129500000002,inf
nnet,freq,none,none,0.98,none,n1,0.94638434,34.989999999998005,0.053615659999999954,0.03443335099999989,inf
lda,freq,none,none,0.98,none,n1,0.8064456870000001,24.399999999998002,0.19355431299999992,0.17437200399999986,inf
C5.0Tree,freq,none,none,0.98,none,n1,0.8927685870000001,20.119999999998,0.10723141299999994,0.08804910399999988,inf
knn,freq,none,none,0.98,'> 0',n1,0.836882811,29.9599999999984,0.16311718900000005,0.14393488,inf
ranger,freq,none,none,0.98,'> 0',n1,0.960510497,23.059999999998396,0.03948950299999998,0.020307193999999917,inf
JRip,freq,none,none,0.98,'> 0',n1,0.88658888,25.809999999998396,0.11341111999999998,0.09422881099999991,inf
svmLinear2,freq,none,none,0.98,'> 0',n1,0.949213607,17.2799999999984,0.050786392999999985,0.03160408399999992,inf
J48,freq,none,none,0.98,'> 0',n1,0.9023775820000001,21.749999999998398,0.09762241799999993,0.07844010899999987,inf
nnet,freq,none,none,0.98,'> 0',n1,0.9407524209999999,20.3699999999984,0.059247579000000106,0.04006527000000004,inf
lda,freq,none,none,0.98,'> 0',n1,0.889387678,18.109999999998397,0.11061232200000004,0.09143001299999998,inf
C5.0Tree,freq,none,none,0.98,'> 0',n1,0.909712654,19.229999999998398,0.09028734599999999,0.07110503699999993,inf
knn,freq,none,porter,0.99,none,n1,0.882600365,83.17999999999971,0.11739963499999995,0.09821732599999988,inf
ranger,freq,none,porter,0.99,none,n1,0.967281258,43.14999999999971,0.03271874200000002,0.013536432999999959,inf
JRip,freq,none,porter,0.99,none,n1,0.8854424120000001,107.54,0.11455758799999993,0.09537527899999987,inf
svmLinear2,freq,none,porter,0.99,none,n1,0.9418759590000001,39.5699999999997,0.058124040999999904,0.03894173199999984,inf
J48,freq,none,porter,0.99,none,n1,0.9001075470000001,67.1699999999997,0.09989245299999994,0.08071014399999987,inf
nnet,freq,none,porter,0.99,none,n1,0.907518932,72.81999999999971,0.092481068,0.07329875899999994,inf
lda,freq,none,porter,0.99,none,n1,0.687978451,71.89999999999971,0.312021549,0.29283923999999995,inf
C5.0Tree,freq,none,porter,0.99,none,n1,0.898409438,39.409999999999705,0.10159056200000005,0.08240825299999999,inf
knn,Td-idf,none,none,0.98,none,n1,0.87131243,41.2300000000001,0.12868756999999997,0.10950526099999991,inf
ranger,Td-idf,none,none,0.98,none,n1,0.961068465,27.06,0.03893153500000002,0.019749225999999953,inf
JRip,Td-idf,none,none,0.98,none,n1,0.871891999,40.5600000000001,0.12810800099999997,0.10892569199999991,inf
svmLinear2,Td-idf,none,none,0.98,none,n1,0.9497715859999999,21.56,0.05022841400000011,0.031046105000000046,inf
J48,Td-idf,none,none,0.98,none,n1,0.873035948,30.78,0.12696405200000005,0.10778174299999999,inf
nnet,Td-idf,none,none,0.98,none,n1,0.9582353379999999,21.47,0.04176466200000006,0.022582353,inf
lda,Td-idf,none,none,0.98,none,n1,0.8504345759999999,25.25,0.14956542400000006,0.130383115,inf
C5.0Tree,Td-idf,none,none,0.98,none,n1,0.875295843,42.8900000000001,0.12470415700000004,0.10552184799999997,inf
knn,freq,none,porter,0.99,'> 0',n1,0.848736432,43.8700000000031,0.15126356799999996,0.1320812589999999,inf
ranger,freq,none,porter,0.99,'> 0',n1,0.963329632,38.5900000000031,0.03667036800000001,0.017488058999999945,inf
JRip,freq,none,porter,0.99,'> 0',n1,0.9068859109999999,42.7500000000031,0.09311408900000007,0.07393178,inf
svmLinear2,freq,none,porter,0.99,'> 0',n1,0.957121957,32.8900000000031,0.04287804299999998,0.023695733999999913,inf
J48,freq,none,porter,0.99,'> 0',n1,0.914214651,36.4900000000031,0.08578534900000001,0.06660303999999995,inf
nnet,freq,none,porter,0.99,'> 0',n1,0.945268393,35.3900000000031,0.054731607000000015,0.03554929799999995,inf
lda,freq,none,porter,0.99,'> 0',n1,0.892214473,33.5000000000031,0.10778552699999999,0.08860321799999993,inf
C5.0Tree,freq,none,porter,0.99,'> 0',n1,0.913638843,34.9200000000031,0.08636115700000002,0.06717884799999996,inf
knn,freq,none,porter,0.98,none,n1,0.8645403740000001,49.0800000000013,0.13545962599999994,0.11627731699999988,inf
ranger,freq,none,porter,0.98,none,n1,0.9622009579999999,31.900000000001302,0.03779904200000006,0.018616732999999996,inf
